created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Mar 05 07:00:16 +0000 2024;1,76491E+18;"tasya farasya approved emg gapernah gagal ya😭🙏🏻  akhirnya aku cobain shampoo ini dan ngurangin rambut rontok + ketombe :) {mu} https://t.co/jK0gDqdVZH""";0;0;0;0;in;8,66802E+17;1,76491E+18;womanfeeds_id;https://twitter.com/womanfeeds_id/status/1764908771158200376
Tue Mar 05 06:48:44 +0000 2024;1,76491E+18;STOP SCROLLING‼️  buat kalian yang punya permasalahan komedo, bruntusan, jerawat, bahkan kulit kusam, plisssss kalian wajib cobain ini! 👀🫶🏻 owh iyh.. tasya farasya approved juga🥹❤️  #racuninmasker  from this                                    to this https://t.co/DQEO70xNlf;0;1;4;4;in;1,29061E+18;1,76491E+18;bo0chill;https://twitter.com/bo0chill/status/1764905871379943649
Tue Mar 05 03:33:28 +0000 2024;1,76486E+18;Cek [Tasya Farasya Approved] SKINTIFIC MSH Niacinamide Brightening Moisturizer Glowing Moisture Gel 30g Alpha Arbutin Cream Pemutih Wajah dengan harga Rp125.000. Dapatkan di Shopee sekarang! https://t.co/miyaC6jiXV https://t.co/amfbJIL92S;0;0;0;1;in;1,68959E+18;1,76486E+18;leni120045;https://twitter.com/leni120045/status/1764856729404391711
Tue Mar 05 03:33:08 +0000 2024;1,76486E+18;Mana nih yang nungguin pengumuman? Enaknya kapan yaaa?👀;0;25;7;31;in;1,4587E+18;1,76486E+18;mopbeauty;https://twitter.com/mopbeauty/status/1764856645899923796
Tue Mar 05 03:24:10 +0000 2024;1,76485E+18;Cek [TASYA FARASYA APPROVED] SOMETHINC Calm Down! Skinpair R-Cover Cream Moisturizer - (Madagascar Centella Asiatica, Skin Barrier, Kulit Sensitif, Kulit Iritasi) dengan harga Rp129.000. Dapatkan di Shopee sekarang! https://t.co/pTntuitRdL https://t.co/h8CYPcMBqr;0;0;0;0;in;1,4319E+18;1,76485E+18;lalalaririri_;https://twitter.com/lalalaririri_/status/1764854389494435953
Tue Mar 05 02:59:54 +0000 2024;1,76485E+18;@meelofarts Wkwkwkwk tasya farasya kali ah;0;0;0;0;in;148632630;1,76466E+18;acipanser;https://twitter.com/acipanser/status/1764848280490627263
Mon Mar 04 23:46:34 +0000 2024;1,7648E+18;@chxmxhc tau guah, masa tasya farasya;0;1;0;0;in;1,73448E+18;1,7648E+18;itsyagirlvan;https://twitter.com/itsyagirlvan/status/1764799630234005777
Mon Mar 04 15:58:04 +0000 2024;1,76468E+18;Keanu &amp  Tasya Farasya.;0;0;0;0;in;1,34303E+18;1,76468E+18;ryoSoekuna;https://twitter.com/ryoSoekuna/status/1764681727581323341
Mon Mar 04 15:14:09 +0000 2024;1,76467E+18;[Tasya Farasya Approved] SKINTIFIC MSH Niacinamide Brightening Moisturizer Glowing Moisture Gel 30g Alpha Arbutin Cream Pemutih Wajah  https://t.co/BX3Zppbw2m https://t.co/XyBgyF5AgZ;0;0;0;0;in;138309608;1,76467E+18;PathitZhy;https://twitter.com/PathitZhy/status/1764670676080922879
Mon Mar 04 15:11:35 +0000 2024;1,76467E+18;@huhyjennai Tiap ada kupu kupu aku inget tasya farasya😭;0;0;0;0;in;1,72028E+18;1,76467E+18;annanaaaa_NM;https://twitter.com/annanaaaa_NM/status/1764670026819457309
Mon Mar 04 15:10:36 +0000 2024;1,76467E+18;@ohmybeautybank Yang di approved tasya farasya dong https://t.co/H4llASXNey;0;0;0;0;in;1,00964E+18;1,76467E+18;snowputr;https://twitter.com/snowputr/status/1764669783239463177
Mon Mar 04 14:00:40 +0000 2024;1,76465E+18;Ka tasya farasya kamu liat twit aku yang ini ya.... AHAHAHA https://t.co/VjVjRe98sO;0;0;0;0;in;1,23828E+18;1,76304E+18;icepurplej;https://twitter.com/icepurplej/status/1764652182220292535
Mon Mar 04 12:34:54 +0000 2024;1,76463E+18;@rurulistyana ini tasya farasya approved;0;0;0;0;in;1,26202E+18;1,76384E+18;caramanlatte;https://twitter.com/caramanlatte/status/1764630597002199058
Mon Mar 04 12:25:53 +0000 2024;1,76463E+18;Tasya farasya cakep bgt;0;0;0;0;in;9,79407E+17;1,76463E+18;Sarbiebzzz;https://twitter.com/Sarbiebzzz/status/1764628328185794919
Mon Mar 04 11:10:17 +0000 2024;1,76461E+18;@pacarthitipoom YA MAKSUD GUE TUH NARAVIT SAMA TASYA FARASYA KORELASINYA APA😭;0;1;0;0;in;1,33297E+18;1,7646E+18;dae___gu;https://twitter.com/dae___gu/status/1764609304798306309
Mon Mar 04 10:53:22 +0000 2024;1,76461E+18;[Tasya Farasya Approved] SKINTIFIC MSH Niacinamide Brightening Moisturizer Glowing Moisture Gel 30g Alpha Arbutin Cream Pemutih Wajah    Rp125.000.   https://t.co/33FOza8Rxt https://t.co/R4O6373PmH;0;0;0;0;in;1,28544E+18;1,76461E+18;ladyb2504;https://twitter.com/ladyb2504/status/1764605046967423333
Mon Mar 04 10:46:39 +0000 2024;1,7646E+18;[Tasya Farasya Approved] SKINTIFIC MSH Niacinamide Brightening Moisturizer Glowing Moisture Gel 30g Alpha Arbutin Cream Pemutih Wajah  Rp125.000.    https://t.co/kxWZicwagb https://t.co/k1lIz9593f;0;0;0;0;in;1,28544E+18;1,7646E+18;ladyb2504;https://twitter.com/ladyb2504/status/1764603355912134853
Mon Mar 04 05:38:07 +0000 2024;1,76453E+18;Temukan dan dapatkan [Tasya Farasya Approved] SKINTIFIC MSH Niacinamide Brightening Moisturizer Glowing Moisture Gel 30g Alpha Arbutin Cream Pemutih Wajah hanya Rp125.000 di Shopee sekarang juga! https://t.co/4CAFfdRxd6 #ShopeeID https://t.co/RAqPccqYzR;0;0;0;1;in;547464587;1,76453E+18;febriinspirit;https://twitter.com/febriinspirit/status/1764525712466416119
Mon Mar 04 05:02:01 +0000 2024;1,76452E+18;💫Barenbliss Korean Roll To Volume Mascara  Mascara favorittt bangett karena murah dan super bagus bikin bulmat bervolume.   udah waterproof, smudgeproff, ga bikin clumpy, packagingnya gemess, ga heran kalo mascara ini approve sama Tasya Farasya  👉🏻 https://t.co/S8FRuBrS7M https://t.co/IWL7swD3yf;0;1;0;2;in;1,68854E+18;1,76452E+18;cookiewmilkk;https://twitter.com/cookiewmilkk/status/1764516626492428746
Mon Mar 04 04:13:28 +0000 2024;1,7645E+18;11. Carl &amp  claire dancing with my shadow (rekomendasi parfum lokal tasya farasya) ✨  Link parfum https://t.co/x686YLWx4S  ✨ Rating 4.9 ✨ https://t.co/aIrWGJZuNb;0;1;0;1;in;1,21204E+18;1,7645E+18;reviewhaul;https://twitter.com/reviewhaul/status/1764504408350745020
Mon Mar 04 04:10:35 +0000 2024;1,7645E+18;02. Sansoe Lignum (rekomendasi tasya farasya wanginya kaya parfum jutaan ) ✨  Link parfum https://t.co/ld8FpBRtdK  ✨ Rating 5 ✨ https://t.co/ayTvSaLknx;0;1;1;4;in;1,21204E+18;1,7645E+18;reviewhaul;https://twitter.com/reviewhaul/status/1764503683763740845
